epoch	step	loss	l1	ciou	train_iou	train_mIoU	lr	mIoU	Acc@0.25	Acc@0.5	Acc@0.75	Acc@0.9	blind_mIoU	delta	sec
75	760	0.3969	0.0151	0.1607	0.8415	0.8568	0.7314	0.2345	0.4776	0.0896	0.0000	0.0000	0.1186	0.1173	378
76	770	0.3701	0.0144	0.1489	0.8527	0.8684	0.7240	0.2200	0.4328	0.0547	0.0000	0.0000	0.1093	0.1125	382
77	780	0.3956	0.0163	0.1571	0.8445	0.8620	0.7166	0.2361	0.4826	0.0697	0.0000	0.0000	0.1122	0.1256	387
78	790	0.3924	0.0165	0.1551	0.8464	0.8447	0.7091	0.2271	0.4328	0.0995	0.0000	0.0000	0.1125	0.1168	392
79	800	0.3927	0.0152	0.1584	0.8432	0.8488	0.7016	0.2307	0.4826	0.0896	0.0000	0.0000	0.1172	0.1151	397
80	810	0.4329	0.0171	0.1738	0.8284	0.8789	0.6940	0.2236	0.4129	0.0846	0.0000	0.0000	0.1153	0.1093	402
81	820	0.3365	0.0138	0.1338	0.8677	0.8811	0.6864	0.2261	0.4428	0.0846	0.0050	0.0000	0.1190	0.1087	407
82	830	0.3445	0.0146	0.1358	0.8657	0.8718	0.6787	0.2281	0.4677	0.0846	0.0000	0.0000	0.1156	0.1141	412
83	840	0.3331	0.0128	0.1345	0.8667	0.8684	0.6709	0.2299	0.4478	0.0896	0.0000	0.0000	0.1165	0.1149	416
84	850	0.3457	0.0140	0.1378	0.8637	0.8828	0.6631	0.2237	0.4229	0.0846	0.0050	0.0000	0.1135	0.1122	421
85	860	0.3493	0.0129	0.1423	0.8591	0.8884	0.6553	0.2274	0.4229	0.0896	0.0100	0.0000	0.1167	0.1130	426
86	870	0.3176	0.0119	0.1291	0.8722	0.8825	0.6474	0.2301	0.4179	0.0746	0.0050	0.0000	0.1200	0.1117	431
87	880	0.3063	0.0123	0.1224	0.8786	0.8863	0.6395	0.2254	0.4179	0.0697	0.0000	0.0000	0.1181	0.1080	436
88	890	0.3601	0.0133	0.1468	0.8548	0.8821	0.6315	0.2326	0.4478	0.0846	0.0000	0.0000	0.1207	0.1130	441
89	900	0.3308	0.0125	0.1343	0.8670	0.8703	0.6235	0.2319	0.4279	0.0746	0.0000	0.0000	0.1218	0.1122	446
90	910	0.2703	0.0097	0.1108	0.8899	0.8914	0.6155	0.2295	0.4378	0.0796	0.0050	0.0000	0.1201	0.1111	451
91	920	0.3203	0.0123	0.1294	0.8717	0.8917	0.6075	0.2285	0.4428	0.0846	0.0050	0.0000	0.1182	0.1112	456
92	930	0.2907	0.0113	0.1171	0.8840	0.8986	0.5994	0.2301	0.4378	0.0746	0.0000	0.0000	0.1187	0.1127	461
93	940	0.3280	0.0120	0.1340	0.8675	0.8796	0.5913	0.2246	0.3980	0.0647	0.0000	0.0000	0.1230	0.1035	466
94	950	0.3237	0.0122	0.1313	0.8698	0.8842	0.5831	0.2268	0.4428	0.0846	0.0050	0.0000	0.1167	0.1115	470
95	960	0.3750	0.0144	0.1514	0.8501	0.8868	0.5749	0.2306	0.4428	0.0746	0.0000	0.0000	0.1171	0.1152	475
96	970	0.3271	0.0127	0.1317	0.8694	0.8907	0.5668	0.2292	0.4328	0.1095	0.0000	0.0000	0.1130	0.1177	480
97	980	0.2846	0.0113	0.1140	0.8871	0.8865	0.5586	0.2240	0.4378	0.0846	0.0000	0.0000	0.1076	0.1177	485
98	990	0.3249	0.0127	0.1308	0.8705	0.8750	0.5503	0.2316	0.4627	0.0995	0.0050	0.0000	0.1147	0.1182	490
99	1000	0.3232	0.0126	0.1301	0.8709	0.8960	0.5421	0.2265	0.4527	0.0796	0.0000	0.0000	0.1123	0.1155	494
100	1010	0.2915	0.0110	0.1182	0.8829	0.8928	0.5339	0.2301	0.4577	0.0896	0.0000	0.0000	0.1132	0.1184	500
101	1020	0.2908	0.0113	0.1171	0.8837	0.8900	0.5256	0.2218	0.4378	0.0746	0.0050	0.0000	0.1063	0.1165	506
102	1030	0.2887	0.0113	0.1162	0.8849	0.8996	0.5174	0.2258	0.4428	0.0796	0.0000	0.0000	0.1131	0.1142	511
103	1040	0.3197	0.0113	0.1316	0.8700	0.8980	0.5091	0.2218	0.4428	0.0846	0.0000	0.0000	0.1091	0.1136	517
104	1050	0.2902	0.0106	0.1187	0.8824	0.8995	0.5008	0.2302	0.4428	0.0896	0.0000	0.0000	0.1138	0.1180	522
105	1060	0.2833	0.0099	0.1168	0.8844	0.8874	0.4926	0.2265	0.4428	0.0896	0.0050	0.0000	0.1187	0.1096	526
106	1070	0.3120	0.0118	0.1266	0.8744	0.8948	0.4843	0.2204	0.4378	0.0597	0.0000	0.0000	0.1119	0.1101	531
107	1080	0.2656	0.0100	0.1079	0.8929	0.8864	0.4760	0.2259	0.4229	0.0796	0.0000	0.0000	0.1202	0.1070	536
108	1090	0.2810	0.0103	0.1147	0.8862	0.8945	0.4678	0.2170	0.4129	0.0796	0.0000	0.0000	0.1153	0.1030	541
109	1100	0.2680	0.0098	0.1096	0.8911	0.8955	0.4595	0.2247	0.4328	0.0697	0.0000	0.0000	0.1170	0.1088	546
110	1110	0.2677	0.0100	0.1088	0.8920	0.8990	0.4513	0.2162	0.3930	0.0796	0.0000	0.0000	0.1161	0.1022	551
111	1120	0.2734	0.0099	0.1119	0.8890	0.9099	0.4431	0.2246	0.4229	0.0846	0.0000	0.0000	0.1187	0.1071	556
112	1130	0.2736	0.0107	0.1101	0.8908	0.9012	0.4349	0.2278	0.4577	0.0796	0.0050	0.0000	0.1177	0.1112	560
113	1140	0.2341	0.0088	0.0950	0.9056	0.8975	0.4267	0.2266	0.4328	0.0896	0.0000	0.0000	0.1181	0.1107	565
114	1150	0.2547	0.0105	0.1012	0.8995	0.9116	0.4185	0.2243	0.4229	0.0746	0.0000	0.0000	0.1172	0.1090	570
115	1160	0.2701	0.0103	0.1093	0.8915	0.9124	0.4104	0.2298	0.4527	0.0846	0.0050	0.0000	0.1204	0.1114	575
116	1170	0.2613	0.0106	0.1042	0.8964	0.8967	0.4023	0.2234	0.4229	0.0796	0.0000	0.0000	0.1129	0.1124	580
117	1180	0.2299	0.0085	0.0937	0.9068	0.9134	0.3942	0.2209	0.4229	0.0796	0.0000	0.0000	0.1187	0.1039	584
118	1190	0.2308	0.0087	0.0938	0.9068	0.9172	0.3861	0.2238	0.4179	0.0995	0.0000	0.0000	0.1162	0.1090	589
119	1200	0.2316	0.0086	0.0943	0.9063	0.9099	0.3781	0.2232	0.4279	0.0846	0.0000	0.0000	0.1185	0.1062	594
120	1210	0.2380	0.0086	0.0976	0.9031	0.9243	0.3701	0.2263	0.4179	0.0896	0.0000	0.0000	0.1204	0.1078	599
121	1220	0.2227	0.0083	0.0906	0.9102	0.9174	0.3621	0.2261	0.4378	0.0647	0.0050	0.0000	0.1167	0.1111	604
122	1230	0.2517	0.0091	0.1032	0.8977	0.9215	0.3542	0.2257	0.4279	0.0796	0.0000	0.0000	0.1189	0.1088	609
123	1240	0.2249	0.0084	0.0915	0.9090	0.9259	0.3463	0.2240	0.4478	0.0846	0.0000	0.0000	0.1142	0.1113	614
124	1250	0.2281	0.0077	0.0947	0.9062	0.9148	0.3384	0.2235	0.4428	0.0896	0.0000	0.0000	0.1087	0.1166	619
125	1260	0.2154	0.0080	0.0878	0.9127	0.9175	0.3306	0.2231	0.4328	0.0846	0.0000	0.0000	0.1139	0.1112	623
126	1270	0.2091	0.0077	0.0852	0.9152	0.9206	0.3229	0.2233	0.4328	0.0896	0.0000	0.0000	0.1148	0.1101	628
127	1280	0.1850	0.0069	0.0751	0.9252	0.9137	0.3152	0.2200	0.4179	0.0697	0.0050	0.0000	0.1108	0.1112	633
128	1290	0.2124	0.0083	0.0856	0.9150	0.9124	0.3075	0.2211	0.4030	0.0896	0.0000	0.0000	0.1160	0.1067	638
129	1300	0.2193	0.0085	0.0884	0.9121	0.9212	0.2999	0.2233	0.4229	0.0796	0.0000	0.0000	0.1138	0.1113	643
130	1310	0.2450	0.0088	0.1006	0.9004	0.9233	0.2924	0.2246	0.4478	0.0746	0.0000	0.0000	0.1150	0.1121	647
131	1320	0.2147	0.0081	0.0872	0.9135	0.9192	0.2849	0.2226	0.3930	0.0697	0.0000	0.0000	0.1163	0.1084	652
132	1330	0.2210	0.0078	0.0910	0.9098	0.9208	0.2774	0.2221	0.4179	0.0647	0.0000	0.0000	0.1163	0.1072	657
133	1340	0.2022	0.0073	0.0828	0.9176	0.9111	0.2701	0.2222	0.3980	0.0746	0.0000	0.0000	0.1164	0.1073	662
134	1350	0.1943	0.0074	0.0787	0.9219	0.9193	0.2628	0.2266	0.4478	0.0846	0.0000	0.0000	0.1168	0.1113	667
135	1360	0.2222	0.0084	0.0901	0.9106	0.9042	0.2555	0.2241	0.4179	0.0697	0.0000	0.0000	0.1197	0.1062	672
136	1370	0.2067	0.0075	0.0847	0.9159	0.9215	0.2483	0.2224	0.4328	0.0647	0.0000	0.0000	0.1183	0.1059	676
137	1380	0.1910	0.0075	0.0767	0.9237	0.9126	0.2412	0.2217	0.4080	0.0896	0.0000	0.0000	0.1227	0.1010	681
138	1390	0.2169	0.0083	0.0878	0.9127	0.9216	0.2342	0.2222	0.4179	0.0796	0.0050	0.0000	0.1171	0.1066	686
139	1400	0.1930	0.0072	0.0786	0.9219	0.9236	0.2272	0.2198	0.4129	0.0647	0.0000	0.0000	0.1191	0.1025	691
140	1410	0.2015	0.0073	0.0824	0.9182	0.9249	0.2203	0.2241	0.4129	0.0846	0.0000	0.0000	0.1163	0.1095	696
141	1420	0.1782	0.0066	0.0726	0.9277	0.9306	0.2135	0.2196	0.4129	0.0697	0.0000	0.0000	0.1174	0.1038	700
142	1430	0.2040	0.0079	0.0824	0.9182	0.9253	0.2068	0.2184	0.4030	0.0746	0.0000	0.0000	0.1149	0.1054	705
143	1440	0.1996	0.0075	0.0810	0.9195	0.9299	0.2001	0.2203	0.4129	0.0697	0.0000	0.0000	0.1147	0.1070	710
144	1450	0.1966	0.0075	0.0796	0.9209	0.9255	0.1935	0.2218	0.4080	0.0796	0.0000	0.0000	0.1192	0.1041	715
145	1460	0.1915	0.0070	0.0783	0.9221	0.9316	0.1871	0.2226	0.4179	0.0796	0.0000	0.0000	0.1187	0.1053	720
146	1470	0.2009	0.0073	0.0822	0.9183	0.9301	0.1807	0.2279	0.4129	0.0896	0.0000	0.0000	0.1236	0.1055	724
147	1480	0.1892	0.0071	0.0768	0.9236	0.9348	0.1743	0.2237	0.4328	0.0846	0.0000	0.0000	0.1195	0.1056	729
148	1490	0.1843	0.0067	0.0755	0.9249	0.9359	0.1681	0.2246	0.4080	0.0846	0.0050	0.0000	0.1199	0.1068	734
149	1500	0.1687	0.0063	0.0685	0.9318	0.9303	0.1620	0.2219	0.4179	0.0796	0.0000	0.0000	0.1209	0.1026	740
150	1510	0.1592	0.0057	0.0652	0.9350	0.9364	0.1559	0.2227	0.4080	0.0746	0.0000	0.0000	0.1198	0.1042	745
151	1520	0.1737	0.0065	0.0706	0.9298	0.9411	0.1500	0.2240	0.4080	0.0846	0.0000	0.0000	0.1218	0.1032	750
152	1530	0.1759	0.0065	0.0717	0.9287	0.9325	0.1441	0.2219	0.4129	0.0746	0.0000	0.0000	0.1236	0.1000	756
153	1540	0.1732	0.0064	0.0706	0.9297	0.9360	0.1384	0.2215	0.4030	0.0796	0.0050	0.0000	0.1188	0.1046	761
154	1550	0.1627	0.0058	0.0668	0.9335	0.9420	0.1327	0.2240	0.3930	0.0746	0.0000	0.0000	0.1182	0.1078	766
155	1560	0.1578	0.0059	0.0641	0.9362	0.9369	0.1271	0.2219	0.3881	0.0746	0.0050	0.0000	0.1196	0.1039	771
156	1570	0.1868	0.0070	0.0760	0.9244	0.9363	0.1217	0.2251	0.4179	0.0746	0.0000	0.0000	0.1197	0.1066	775
157	1580	0.1698	0.0065	0.0688	0.9315	0.9397	0.1163	0.2221	0.4179	0.0746	0.0000	0.0000	0.1197	0.1040	780
158	1590	0.1735	0.0065	0.0706	0.9297	0.9336	0.1111	0.2207	0.4129	0.0796	0.0050	0.0000	0.1176	0.1051	785
159	1600	0.1772	0.0067	0.0719	0.9285	0.9400	0.1059	0.2268	0.4428	0.0796	0.0100	0.0000	0.1196	0.1085	790
160	1610	0.1634	0.0060	0.0667	0.9336	0.9422	0.1009	0.2255	0.4279	0.0796	0.0050	0.0000	0.1195	0.1075	795
161	1620	0.1664	0.0061	0.0679	0.9324	0.9449	0.0960	0.2266	0.4229	0.0746	0.0050	0.0000	0.1218	0.1068	800
162	1630	0.1483	0.0055	0.0605	0.9398	0.9401	0.0912	0.2266	0.4229	0.0896	0.0000	0.0000	0.1220	0.1059	805
163	1640	0.1477	0.0055	0.0602	0.9400	0.9403	0.0865	0.2242	0.4279	0.0796	0.0000	0.0000	0.1181	0.1076	810
164	1650	0.1687	0.0064	0.0685	0.9319	0.9440	0.0819	0.2236	0.4279	0.0896	0.0000	0.0000	0.1157	0.1090	815
165	1660	0.1677	0.0063	0.0681	0.9323	0.9398	0.0774	0.2229	0.4129	0.0697	0.0050	0.0000	0.1221	0.1021	820
166	1670	0.1583	0.0060	0.0643	0.9360	0.9404	0.0730	0.2231	0.4179	0.0796	0.0050	0.0000	0.1203	0.1037	825
167	1680	0.1486	0.0060	0.0592	0.9410	0.9446	0.0688	0.2262	0.4229	0.0846	0.0000	0.0000	0.1210	0.1068	830
168	1690	0.1748	0.0067	0.0706	0.9299	0.9380	0.0647	0.2228	0.4179	0.0647	0.0000	0.0000	0.1196	0.1047	834
169	1700	0.1714	0.0062	0.0701	0.9303	0.9443	0.0607	0.2205	0.4179	0.0647	0.0000	0.0000	0.1173	0.1044	839
170	1710	0.1626	0.0062	0.0657	0.9346	0.9448	0.0568	0.2207	0.4129	0.0746	0.0000	0.0000	0.1199	0.1020	844
